Category,Risk,Institute,Program,Opening Rank,Closing Rank,Margin
SAFE,Tight,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",4635,7117,+122
SAFE,Tight,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4742,7208,+213
SAFE,Tight,Indian Institute of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",4787,7286,+291
SAFE,Tight,Indian Institute of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",6280,7341,+346
SAFE,Tight,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4462,7382,+387
SAFE,Comfortable,Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",4522,7545,+550
SAFE,Comfortable,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",5136,7590,+595
SAFE,Comfortable,Indian Institute of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",5842,7603,+608
SAFE,Comfortable,Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",6084,7604,+609
SAFE,Comfortable,Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",5552,7708,+713
SAFE,Comfortable,Indian Institute of Technology Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",6305,7786,+791
SAFE,Comfortable,Indian Institute of Technology Goa,"Mathematics and Computing (4 Years, Bachelor of Technology)",5436,7932,+937
SAFE,Comfortable,Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",7001,7934,+939
SAFE,Comfortable,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",5974,8165,+1170
SAFE,Comfortable,Indian Institute of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",7381,8222,+1227
SAFE,Comfortable,Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",5236,8299,+1304
SAFE,Comfortable,Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",6087,8343,+1348
SAFE,Comfortable,Indian Institute of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",6239,8381,+1386
SAFE,Comfortable,Indian Institute of Technology (BHU) Varanasi,"Engineering Physics (4 Years, Bachelor of Technology)",5457,8441,+1446
SAFE,Comfortable,Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",7000,8559,+1564
